Sample	Type	Subtype	Color	Color2	MeanMethylation
BP_venous_blood_C005UI52_central_memory_CD8positive_alphabeta_T_cell_DiseaseFree	Lymphoid	memoryTCell	blue	'#002BFF'	0.649649
BP_venous_blood_S014QS55_central_memory_CD4positive_alphabeta_T_cell_DiseaseFree	Lymphoid	memoryTCell	blue	'#002BFF'	0.623813
BP_venous_blood_S001U352_effector_memory_CD4positive_alphabeta_T_cell_DiseaseFree	Lymphoid	memoryTCell	blue	'#002BFF'	0.610045
BP_venous_blood_S002ND51_effector_memory_CD8positive_alphabeta_T_cell_terminally_differentiated_DiseaseFree	Lymphoid	memoryTCell	blue	'#002BFF'	0.611411
BP_venous_blood_S008H151_CD4positive_alphabeta_T_cell_DiseaseFree	Lymphoid	TCell	blue	'#43B9F9'	0.863386
BP_venous_blood_S007DD51_CD4positive_alphabeta_T_cell_DiseaseFree	Lymphoid	TCell	blue	'#43B9F9'	0.859963
BP_venous_blood_S007G756_CD4positive_alphabeta_T_cell_DiseaseFree	Lymphoid	TCell	blue	'#43B9F9'	0.85312
BP_venous_blood_C003VO55_CD8positive_alphabeta_T_cell_DiseaseFree	Lymphoid	TCell	blue	'#43B9F9'	0.840685
BP_venous_blood_C00256A1bs_CD8positive_alphabeta_T_cell_DiseaseFree	Lymphoid	TCell	blue	'#43B9F9'	0.799369
BP_venous_blood_C00256A3bs_effector_memory_CD8positive_alphabeta_T_cell_DiseaseFree	Lymphoid	memoryTCell	blue	'#002BFF'	0.603138
BP_venous_blood_S014QS51_effector_memory_CD4positive_alphabeta_T_cell_DiseaseFree	Lymphoid	memoryTCell	blue	'#002BFF'	0.522862
BP_venous_blood_S014WG51_effector_memory_CD8positive_alphabeta_T_cell_DiseaseFree	Lymphoid	memoryTCell	blue	'#002BFF'	0.517503
BP_venous_blood_S0164R51_effector_memory_CD8positive_alphabeta_T_cell_terminally_differentiated_DiseaseFree	Lymphoid	memoryTCell	blue	'#002BFF'	0.487013
BP_cord_blood_S01E8O51_cytotoxic_CD56dim_natural_killer_cell_DiseaseFree	Lymphoid	NKCell	blue	'#1A237E'	0.82262
BP_cord_blood_C0067N51_cytotoxic_CD56dim_natural_killer_cell_DiseaseFree	Lymphoid	NKCell	blue	'#1A237E'	0.821985
BP_venous_blood_C006G551_cytotoxic_CD56dim_natural_killer_cell_DiseaseFree	Lymphoid	NKCell	blue	'#1A237E'	0.804801
